"Total character count: 46,841,097",,,,,,
"Context number: 6,243",,,,,,
Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD
力,44859,957.68,4.6518,6009,96.25,3.7788
工,44548,951.05,4.6488,5692,91.17,3.7553
许,44190,943.4,4.6453,5976,95.72,3.7764
东,44037,940.14,4.6438,6035,96.67,3.7807
名,43229,922.89,4.6358,5995,96.03,3.7778
同,42995,917.89,4.6334,6029,96.57,3.7802
长,42596,909.37,4.6294,5903,94.55,3.7711
亲,42501,907.34,4.6284,5812,93.1,3.7643
种,42396,905.1,4.6273,6034,96.65,3.7806
者,42245,901.88,4.6258,5891,94.36,3.7702
嘿,42007,896.8,4.6233,4837,77.48,3.6846
白,41987,896.37,4.6231,6007,96.22,3.7787
学,41964,895.88,4.6229,5516,88.35,3.7416
安,41719,890.65,4.6203,5846,93.64,3.7669
尔,41284,881.36,4.6158,3793,60.76,3.579
叫,41269,881.04,4.6156,5999,96.09,3.7781
理,41099,877.41,4.6138,5960,95.47,3.7752
本,41063,876.64,4.6135,6000,96.11,3.7782
国,40712,869.15,4.6097,5187,83.09,3.7149
第,40665,868.15,4.6092,6049,96.89,3.7817
友,40149,857.13,4.6037,5845,93.62,3.7668
高,40044,854.89,4.6025,6001,96.12,3.7782
两,39972,853.35,4.6018,6011,96.28,3.7789
保,39731,848.21,4.5991,5920,94.83,3.7723
请,39590,845.2,4.5976,5884,94.25,3.7697
非,39443,842.06,4.596,5873,94.07,3.7689
重,39372,840.54,4.5952,6073,97.28,3.7834
公,39292,838.84,4.5943,5751,92.12,3.7597
记,39008,832.77,4.5912,5971,95.64,3.776
身,38760,827.48,4.5884,6010,96.27,3.7789
受,38688,825.94,4.5876,6019,96.41,3.7795
住,38482,821.54,4.5853,5967,95.58,3.7758
活,38236,816.29,4.5825,6003,96.16,3.7784
加,38160,814.67,4.5816,5829,93.37,3.7656
何,37987,810.98,4.5796,5895,94.43,3.7705
伙,37637,803.5,4.5756,5529,88.56,3.7426
题,37524,801.09,4.5743,5958,95.43,3.7751
完,37488,800.32,4.5739,6033,96.64,3.7805
接,37114,792.34,4.5695,6016,96.36,3.7793
拿,37054,791.06,4.5688,5967,95.58,3.7758
望,36791,785.44,4.5657,6000,96.11,3.7782
解,36622,781.83,4.5637,5912,94.7,3.7717
其,36285,774.64,4.5597,5983,95.84,3.7769
离,35725,762.68,4.553,5906,94.6,3.7713
谈,35703,762.22,4.5527,5314,85.12,3.7254
又,35669,761.49,4.5523,6001,96.12,3.7782
新,35497,757.82,4.5502,5904,94.57,3.7711
更,35397,755.68,4.549,5991,95.96,3.7775
钱,35222,751.95,4.5468,4921,78.82,3.6921
马,34892,744.9,4.5427,5560,89.06,3.7451
思,34855,744.11,4.5423,5940,95.15,3.7738
部,34796,742.85,4.5415,5762,92.3,3.7606
场,34746,741.78,4.5409,5695,91.22,3.7555
嗯,34639,739.5,4.5396,4451,71.3,3.6485
计,34589,738.43,4.5389,5598,89.67,3.748
